KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,732246.0714285712,2928984.285714285,2187634.285714285,741350,1907.096632653061,825.1065030421684,206.276625760542
1,1149562.499999999,4598249.999999999,3023999.999999999,1574249.999999999,2072.236959183673,610.2160098793698,152.5540024698424
1,2859337.301587301,8578011.904761905,4125428.571428571,4452583.333333333,3332.609829931973,1743.154461200267,581.0514870667558
1,3035386.904761904,6070773.809523809,2955857.142857143,3114916.666666666,3671.336071428572,38.08926384879369,19.04463192439684
1,687797.619047619,3438988.095238095,2642571.428571429,796416.6666666663,2115.91693877551,3616.263054229666,723.2526108459334
1,821851.1904761905,1643702.380952381,1366285.714285714,277416.6666666666,2051.405714285714,38.08926384879369,19.04463192439684
1,447080.3571428571,1788321.428571428,1166571.428571428,621750,2100.398183673469,333.769305865695,83.44232646642376
1,528619.0476190475,2114476.19047619,1451142.857142857,663333.3333333333,1693.817602040816,3470.500741815494,867.6251854538737
1,1567797.619047618,7838988.095238095,4877571.428571429,2961416.666666666,3171.161869387754,2214.847567462551,442.9695134925103
1,469450,3286150,2673000,613150.0000000001,1869.570288629737,12772.14493447664,1824.592133496664
1,614708.73015873,1844126.190476189,1259142.857142856,584983.3333333333,1962.787734693876,297.8038827404156,99.26796091347188
1,2073867.857142857,6221603.571428571,1836428.571428571,4385175,1978.772714285714,1744.018382010391,581.3394606701303
1,1065103.174603174,3195309.523809523,2291142.857142857,904166.6666666666,2632.861220408162,1140.448833258913,380.1496110863043
1,951972.2222222224,2855916.666666666,2067000,788916.6666666667,2163.612761904761,4406.564728391701,1468.8549094639
1,2364704.761904761,2364704.761904761,866571.4285714282,1498133.333333333,3370.939285714286,34.75135742429414,34.75135742429414
1,1295958.333333333,5183833.333333333,3480000,1703833.333333333,2471.24069387755,3084.858999636553,771.2147499091382
1,1922988.095238095,7691952.38095238,4135285.714285714,3556666.666666666,2808.851892857142,5770.918117972231,1442.729529493057
1,1558662.698412698,4675988.095238095,3494571.428571428,1181416.666666666,2571.459945578231,1917.094255984285,639.0314186614283
1,1060865.079365079,3182595.238095238,2121428.571428571,1061166.666666666,1766.273571428571,571.1083068350089,190.3694356116696
1,666936.9047619047,4001621.428571428,1997871.428571428,2003750,1293.409765306121,874.8229066927782,145.8038177821297
1,3487980.158730159,10463940.47619047,3222857.142857143,7241083.333333333,2274.428044217686,1933.943296586659,644.6477655288866
1,1154916.666666666,2309833.333333333,1482000,827833.3333333329,3109.506224489795,197.4208229815845,98.71041149079228
1,430459.5238095239,2152297.619047619,1561714.285714285,590583.3333333333,1504.872579591836,2390.514378203813,478.1028756407625
1,471398.5714285713,2356992.857142856,1421142.857142856,935850,2126.378685714285,107.461014508014,21.4922029016028
1,737797.2619047618,2951189.047619047,1850605.714285714,1100583.333333333,2024.985234693877,859.4630499237728,214.8657624809432
1,602300,3011500,1980000,1031499.999999999,2223.092214285714,944.9233672732768,188.9846734546553
1,1481007.936507936,4443023.809523809,3402857.142857142,1040166.666666666,2145.065510204081,1793.737942715426,597.9126475718087
1,654900.7936507937,1964702.380952381,1345285.714285714,619416.6666666666,1893.203095238095,198.4277418722001,66.14258062406671
1,1404904.761904762,2809809.523809524,1304142.857142857,1505666.666666666,2187.497908163265,2569.650744111577,1284.825372055788
1,578988.0952380951,2315952.38095238,1219285.714285714,1096666.666666666,1633.527857142856,8630.01071617339,2157.502679043347
1,941613.0952380956,1883226.190476191,1283142.857142857,600083.3333333337,1983.663928571428,2332.376587309505,1166.188293654752
1,842267.857142857,3369071.428571428,2093571.428571428,1275499.999999999,1852.093928571428,2632.793233755884,658.1983084389711
1,1882071.428571428,1882071.428571428,1349571.428571428,532500,3934.937857142857,426.4294436218303,426.4294436218303
1,1407761.904761904,1407761.904761904,900428.5714285712,507333.3333333334,2880.869387755101,1966.870145108999,1966.870145108999
1,1472873.809523809,7364369.047619048,4315285.714285714,3049083.333333333,2109.072448979592,16694.96232323344,3338.992464646687
1,1218075.396825396,3654226.190476189,2132142.857142856,1522083.333333332,1992.713741496598,4970.006889467327,1656.668963155776
1,654851.1904761905,2619404.761904762,1613571.428571429,1005833.333333333,1722.228061224489,7275.899210585431,1818.974802646357
1,758464.2857142856,1516928.571428571,948428.5714285716,568499.9999999997,1904.181785714285,1244.782380721369,622.3911903606846
1,2727964.285714285,8183892.857142856,5147142.857142857,3036749.999999999,2648.334761904761,7592.119809115621,2530.70660303854
1,1080473.809523809,3241421.428571428,1898571.428571428,1342850,2456.635238095237,3580.843453214705,1193.614484404901
1,1294661.904761905,6473309.523809525,4028142.857142858,2445166.666666666,2211.902571428571,16258.15664298737,3251.631328597474
1,752909.5238095239,3764547.619047619,2641714.285714285,1122833.333333333,2230.582857142856,9896.787415864765,1979.357483172952
1,540752.3809523808,2703761.904761904,1749428.571428571,954333.3333333333,1653.392285714285,6365.682779867855,1273.136555973571
1,499988.0952380953,4999880.952380953,3667714.285714287,1332166.666666666,1616.207857142857,41127.72157957706,4112.772157957706
1,1401654.761904761,2803309.523809523,2051142.857142857,752166.6666666665,3469.08857142857,353.3901234526094,176.6950617263047
1,1648970.238095238,6595880.952380952,4267714.285714285,2328166.666666666,2241.686535714285,9758.35907870788,2439.58976967697
1,1233630.952380952,2467261.904761904,1326428.571428571,1140833.333333333,2274.303571428571,913.7305386520624,456.8652693260311
1,668397.619047619,3341988.095238096,2078571.428571429,1263416.666666666,1784.67175510204,4049.005434960056,809.8010869920112
1,665002.9761904762,2660011.904761904,1305428.571428571,1354583.333333333,1245.358214285714,7291.258375027926,1822.814593756981
1,1655634.92063492,4966904.761904762,1787571.428571428,3179333.333333333,2242.240340136054,880.7946258603135,293.5982086201045
1,1139134.92063492,3417404.761904762,2102571.428571429,1314833.333333333,2300.320557823129,2189.420994692441,729.8069982308136
1,943817.4603174602,2831452.38095238,1558285.714285714,1273166.666666666,1528.691428571428,9745.638421558688,3248.546140519563
1,999283.3333333334,999283.3333333334,517500,481783.3333333334,2785.7123469387752,69.93644742564982,69.93644742564982
1,1205193.452380952,4820773.809523809,2172857.142857142,2647916.666666666,1297.030642857142,4637.707259442918,1159.426814860729
1,430002.3809523809,2150011.904761904,1254428.571428571,895583.3333333333,1298.028040816326,18354.0933223476,3670.81866446952
1,891073.8095238094,891073.8095238094,448157.1428571428,442916.6666666666,2341.445612244898,2359.011143791193,2359.011143791193
1,504294.3452380951,4034354.761904761,2759271.428571428,1275083.333333333,1826.445153061224,28972.24286000641,3621.530357500801
1,642674.6031746031,1928023.809523809,1179857.142857142,748166.6666666665,1932.754047619047,2753.567252714844,917.8557509049484
1,474684.5238095237,1898738.095238095,1226571.428571428,672166.6666666667,1376.812767857142,15267.54722206498,3816.886805516246
1,1108938.69047619,4435754.761904763,2537571.428571429,1898183.333333333,2533.453392857142,8958.999779682383,2239.749944920595
1,1210839.285714285,2421678.571428571,1443428.571428571,978250,2956.146326530611,3576.148040895317,1788.074020447658
1,1215309.523809523,2430619.047619047,1474285.714285714,956333.3333333333,1547.156224489796,1820.884830017538,910.4424150087692
1,935064.2857142856,3740257.142857142,1672757.142857142,2067499.999999999,1344.636658163264,5030.246823282692,1257.561705820673
1,2314845.238095238,13889071.42857142,5132571.428571429,8756500,2403.6212585034,10760.68158346802,1793.446930578003
1,869188.0952380951,4345940.476190475,2379857.142857142,1966083.333333333,2134.34955510204,6806.908037019096,1361.381607403819
